lee-lay	L IY0 L EY0
tay-may	T EY0 M EY0
tay-mah	T EY0 M AA0
tay-mo	T EY0 M OW0
tay-nay	T EY0 N EY0
tay-nah	T EY0 N AA0
tay-no	T EY0 N OW0
tay-vay	T EY0 V EY0
tay-vah	T EY0 V AA0
tay-vo	T EY0 V OW0
taythey	T EY0 DH IY0
tay-they	T EY0 DH EY0
tay-though	T EY0 DH OW0
tay-zee	T EY0 Z IY0
tay-zay	T EY0 Z EY0
tay-zah	T EY0 Z AA0
tay-zo	T EY0 Z OW0
tay-fee	T EY0 F IY0
tay-fay	T EY0 F EY0
tay-fah	T EY0 F AA0
tay-fo	T EY0 F OW0
tay-say	T EY0 S EY0
tay-sah	T EY0 S AA0
tay-so	T EY0 S OW0
tay-shee	T EY0 SH IY0
tay-shay	T EY0 SH EY0
tay-shah	T EY0 SH AA0
tay-bay	T EY0 B EY0
tay-bah	T EY0 B AA0
tay-bo	T EY0 B OW0
tay-dee	T EY0 D IY0
tay-day	T EY0 D EY0
tay-dah	T EY0 D AA0
tay-doe	T EY0 D OW0
tay-ghee	T EY0 G IY0
tay-gay	T EY0 G EY0
tay-gah	T EY0 G AA0
tay-go	T EY0 G OW0
tay-pee	T EY0 P IY0
tay-pay	T EY0 P EY0
tay-pah	T EY0 P AA0
tay-po	T EY0 P OW0
tay-tee	T EY0 T IY0
tay-tay	T EY0 T EY0
tay-tah	T EY0 T AA0
tay-toe	T EY0 T OW0
tay-kee	T EY0 K IY0
tay-kay	T EY0 K EY0
tay-kah	T EY0 K AA0
tah-lay	T AA0 L EY0
tah-lah	T AA0 L AA0
tah-lo	T AA0 L OW0
tah-may	T AA0 M EY0
tah-mah	T AA0 M AA0
tah-mo	T AA0 M OW0
tah-nay	T AA0 N EY0
tah-nah	T AA0 N AA0
tah-no	T AA0 N OW0
tah-vee	T AA0 V IY0
tah-vay	T AA0 V EY0
tah-vah	T AA0 V AA0
tah-vo	T AA0 V OW0
tahthey	T AA0 DH IY0
tah-they	T AA0 DH EY0
tah-though	T AA0 DH OW0
tah-zay	T AA0 Z EY0
tah-zah	T AA0 Z AA0
tah-zo	T AA0 Z OW0
tah-fay	T AA0 F EY0
tah-fah	T AA0 F AA0
tah-fo	T AA0 F OW0
tah-see	T AA0 S IY0
tah-say	T AA0 S EY0
tah-sah	T AA0 S AA0
tah-so	T AA0 S OW0
tah-shee	T AA0 SH IY0
tah-shay	T AA0 SH EY0
tah-shah	T AA0 SH AA0
tah-sho	T AA0 SH OW0
tah-bee	T AA0 B IY0
tah-bay	T AA0 B EY0
tah-bah	T AA0 B AA0
tah-bo	T AA0 B OW0
tah-day	T AA0 D EY0
tah-dah	T AA0 D AA0
tah-doe	T AA0 D OW0
tah-ghee	T AA0 G IY0
tah-gay	T AA0 G EY0
tah-gah	T AA0 G AA0
tah-go	T AA0 G OW0
tah-pee	T AA0 P IY0
tah-pay	T AA0 P EY0
tah-pah	T AA0 P AA0
tah-po	T AA0 P OW0
tah-tay	T AA0 T EY0
tah-toe	T AA0 T OW0
tah-kee	T AA0 K IY0
tah-kay	T AA0 K EY0
tah-kah	T AA0 K AA0
toe-lay	T OW0 L EY0
toe-lah	T OW0 L AA0
toe-lo	T OW0 L OW0
toe-may	T OW0 M EY0
toe-mah	T OW0 M AA0
toe-mo	T OW0 M OW0
toe-nay	T OW0 N EY0
toe-nah	T OW0 N AA0
toe-no	T OW0 N OW0
toe-vay	T OW0 V EY0
toe-vah	T OW0 V AA0
toe-vo	T OW0 V OW0
toethey	T OW0 DH IY0
toe-they	T OW0 DH EY0
toe-though	T OW0 DH OW0
toe-zee	T OW0 Z IY0
toe-zay	T OW0 Z EY0
toe-zah	T OW0 Z AA0
toe-zo	T OW0 Z OW0
toe-fee	T OW0 F IY0
toe-fay	T OW0 F EY0
toe-fah	T OW0 F AA0
toe-fo	T OW0 F OW0
toe-say	T OW0 S EY0
toe-sah	T OW0 S AA0
toe-shee	T OW0 SH IY0
toe-shay	T OW0 SH EY0
toe-shah	T OW0 SH AA0
toe-sho	T OW0 SH OW0
toe-bay	T OW0 B EY0
toe-bah	T OW0 B AA0
toe-bo	T OW0 B OW0
toe-dee	T OW0 D IY0
toe-day	T OW0 D EY0
toe-dah	T OW0 D AA0
toe-doe	T OW0 D OW0
toe-ghee	T OW0 G IY0
toe-gay	T OW0 G EY0
toe-gah	T OW0 G AA0
toe-pee	T OW0 P IY0
toe-pay	T OW0 P EY0
toe-pah	T OW0 P AA0
toe-po	T OW0 P OW0
toe-tay	T OW0 T EY0
toe-tah	T OW0 T AA0
toe-kee	T OW0 K IY0
toe-kay	T OW0 K EY0
toe-kah	T OW0 K AA0
toe-ko	T OW0 K OW0
kee-lay	K IY0 L EY0
kee-lah	K IY0 L AA0
kee-lo	K IY0 L OW0
kee-may	K IY0 M EY0
kee-mah	K IY0 M AA0
kee-nay	K IY0 N EY0
kee-nah	K IY0 N AA0
kee-vee	K IY0 V IY0
kee-vay	K IY0 V EY0
kee-vah	K IY0 V AA0
kee-vo	K IY0 V OW0
keethey	K IY0 DH IY0
kee-they	K IY0 DH EY0
kee-though	K IY0 DH OW0
kee-zee	K IY0 Z IY0
kee-zah	K IY0 Z AA0
kee-zo	K IY0 Z OW0
kee-fee	K IY0 F IY0
kee-fay	K IY0 F EY0
kee-fah	K IY0 F AA0
kee-say	K IY0 S EY0
kee-sah	K IY0 S AA0
kee-shay	K IY0 SH EY0
kee-shah	K IY0 SH AA0
kee-sho	K IY0 SH OW0
kee-bay	K IY0 B EY0
kee-bah	K IY0 B AA0
kee-bo	K IY0 B OW0
kee-day	K IY0 D EY0
kee-dah	K IY0 D AA0
kee-gay	K IY0 G EY0
kee-gah	K IY0 G AA0
kee-go	K IY0 G OW0
kee-pee	K IY0 P IY0
kee-pay	K IY0 P EY0
kee-pah	K IY0 P AA0
kee-po	K IY0 P OW0
kee-tee	K IY0 T IY0
kee-tay	K IY0 T EY0
kee-tah	K IY0 T AA0
kee-toe	K IY0 T OW0
kee-kay	K IY0 K EY0
kee-kah	K IY0 K AA0
kee-ko	K IY0 K OW0
kay-lay	K EY0 L EY0
kay-lah	K EY0 L AA0
kay-mee	K EY0 M IY0
kay-may	K EY0 M EY0
kay-mah	K EY0 M AA0
kay-mo	K EY0 M OW0
kay-nay	K EY0 N EY0
kay-nah	K EY0 N AA0
kay-no	K EY0 N OW0
kay-vay	K EY0 V EY0
kay-vah	K EY0 V AA0
kay-vo	K EY0 V OW0
kaythey	K EY0 DH IY0
kay-they	K EY0 DH EY0
kay-though	K EY0 DH OW0
kay-zee	K EY0 Z IY0
kay-zay	K EY0 Z EY0
kay-zah	K EY0 Z AA0
kay-zo	K EY0 Z OW0
kay-fee	K EY0 F IY0
kay-fay	K EY0 F EY0
kay-fah	K EY0 F AA0
kay-fo	K EY0 F OW0
kay-say	K EY0 S EY0
kay-sah	K EY0 S AA0
kay-so	K EY0 S OW0
kay-shee	K EY0 SH IY0
kay-shay	K EY0 SH EY0
kay-shah	K EY0 SH AA0
kay-sho	K EY0 SH OW0
kay-bay	K EY0 B EY0
kay-bah	K EY0 B AA0
kay-bo	K EY0 B OW0
kay-day	K EY0 D EY0
kay-dah	K EY0 D AA0
kay-doe	K EY0 D OW0
kay-gay	K EY0 G EY0
kay-gah	K EY0 G AA0
kay-go	K EY0 G OW0
kay-pee	K EY0 P IY0
kay-pay	K EY0 P EY0
kay-pah	K EY0 P AA0
kay-po	K EY0 P OW0
kay-tay	K EY0 T EY0
kay-tah	K EY0 T AA0
kay-kay	K EY0 K EY0
kay-kah	K EY0 K AA0
kah-lay	K AA0 L EY0
kah-lah	K AA0 L AA0
kah-may	K AA0 M EY0
kah-mah	K AA0 M AA0
kah-mo	K AA0 M OW0
kah-nay	K AA0 N EY0
kah-nah	K AA0 N AA0
kah-vee	K AA0 V IY0
kah-vay	K AA0 V EY0
kah-vah	K AA0 V AA0
kah-vo	K AA0 V OW0
kahthey	K AA0 DH IY0
kah-they	K AA0 DH EY0
kah-though	K AA0 DH OW0
kah-zay	K AA0 Z EY0
kah-zah	K AA0 Z AA0
kah-zo	K AA0 Z OW0
kah-fay	K AA0 F EY0
kah-fah	K AA0 F AA0
kah-fo	K AA0 F OW0
kah-say	K AA0 S EY0
kah-sah	K AA0 S AA0
kah-shee	K AA0 SH IY0
kah-shay	K AA0 SH EY0
kah-shah	K AA0 SH AA0
kah-sho	K AA0 SH OW0
kah-bee	K AA0 B IY0
kah-bay	K AA0 B EY0
kah-bah	K AA0 B AA0
kah-bo	K AA0 B OW0
kah-dee	K AA0 D IY0
kah-day	K AA0 D EY0
kah-dah	K AA0 D AA0
kah-ghee	K AA0 G IY0
kah-gay	K AA0 G EY0
kah-gah	K AA0 G AA0
kah-go	K AA0 G OW0
kah-pay	K AA0 P EY0
kah-pah	K AA0 P AA0
kah-tay	K AA0 T EY0
kah-tah	K AA0 T AA0
kah-toe	K AA0 T OW0
kah-kay	K AA0 K EY0
kah-kah	K AA0 K AA0
kah-ko	K AA0 K OW0
ko-lay	K OW0 L EY0
ko-lah	K OW0 L AA0
ko-may	K OW0 M EY0
ko-mah	K OW0 M AA0
ko-nay	K OW0 N EY0
ko-nah	K OW0 N AA0
ko-vee	K OW0 V IY0
ko-vay	K OW0 V EY0
ko-vah	K OW0 V AA0
ko-vo	K OW0 V OW0
kothey	K OW0 DH IY0
ko-they	K OW0 DH EY0
ko-though	K OW0 DH OW0
ko-zay	K OW0 Z EY0
ko-zah	K OW0 Z AA0
ko-fay	K OW0 F EY0
ko-fah	K OW0 F AA0
ko-fo	K OW0 F OW0
ko-say	K OW0 S EY0
ko-so	K OW0 S OW0
ko-shee	K OW0 SH IY0
ko-shay	K OW0 SH EY0
ko-shah	K OW0 SH AA0
ko-sho	K OW0 SH OW0
ko-dah	K OW0 D AA0
ko-gay	K OW0 G EY0
ko-gah	K OW0 G AA0
ko-go	K OW0 G OW0
ko-pee	K OW0 P IY0
ko-pay	K OW0 P EY0
ko-pah	K OW0 P AA0
ko-po	K OW0 P OW0
ko-tay	K OW0 T EY0
ko-tah	K OW0 T AA0
ko-kay	K OW0 K EY0
ko-kah	K OW0 K AA0
