Entry,Definition,ref
whiz,To make a sound as of a body rushing through the air.,Rhyme Over Reason : Phonological Motivation in English
whizz,To make a sound as of a body rushing through the air.,Rhyme Over Reason : Phonological Motivation in English
whomp,"A heavy, low sound.",Rhyme Over Reason : Phonological Motivation in English
whoofle,"To make a snorting, gurgling, or snuffling sound.",Rhyme Over Reason : Phonological Motivation in English
whoom,To make a resonant booming or rushing sound.,Rhyme Over Reason : Phonological Motivation in English
whoompf,"(Expressing) a sudden, violent rushing sound, as when a quantity of flammable material bursts into flame.",Rhyme Over Reason : Phonological Motivation in English
whoosh,"To utter or emit a dull soft sibilant sound, like that of something rushing through the air; to move rapidly with a rushing sound.",Rhyme Over Reason : Phonological Motivation in English
whorr,To make the soft murmuring sound or note characteristic of doves and pigeons.,Rhyme Over Reason : Phonological Motivation in English
whowse,To make a rushing noise.,Rhyme Over Reason : Phonological Motivation in English
whuff,To make a sound as of a forcible blast of breath or wind.,Rhyme Over Reason : Phonological Motivation in English
whump,"A dull thudding sound, as of a body landing heavily.",Rhyme Over Reason : Phonological Motivation in English
whunk,"A dull hollow sound, as of a bullet striking something.",Rhyme Over Reason : Phonological Motivation in English
whurl,"To make a roaring or rumbling noise; to purr, as a cat.",Rhyme Over Reason : Phonological Motivation in English
whush,"To make a soft rushing sound, as wind, flowing water, waves, etc.",Rhyme Over Reason : Phonological Motivation in English
whute,To whistle.,Rhyme Over Reason : Phonological Motivation in English
whutter,The sound of the flapping of the wings of a large bird or a flight of birds.,Rhyme Over Reason : Phonological Motivation in English
widdly,"Of music or its performance (esp. the playing of an electric guitar): showy, over-elaborate.",Rhyme Over Reason : Phonological Motivation in English
wift,To turn aside; to go astray.,Rhyme Over Reason : Phonological Motivation in English
wim(m)ick,To cry.,Rhyme Over Reason : Phonological Motivation in English
wishtonwish,,
wlite,"To pipe, chirp, warble.",Rhyme Over Reason : Phonological Motivation in English
wompoo,,
woof,Imitation of a gruff abrupt bark of a dog.,Rhyme Over Reason : Phonological Motivation in English
woomph,"A sudden, violent rushing sound; a forceful thudding sound.",Oxford English Dictionary
wough,The bark of a dog or other animal.,Rhyme Over Reason : Phonological Motivation in English
woul,"To howl, cry, wail.",Rhyme Over Reason : Phonological Motivation in English
wow,A bark or similar sound.,Rhyme Over Reason : Phonological Motivation in English
wow,"To howl, to waul.",Rhyme Over Reason : Phonological Motivation in English
wowl,To howl.,Rhyme Over Reason : Phonological Motivation in English
wow-wow,,
wrag,To struggle or strive; to resist.,Rhyme Over Reason : Phonological Motivation in English
wratling,Speaking with much difficulty.,Rhyme Over Reason : Phonological Motivation in English
wrawl,"To utter an inarticulate noise or sound; to bawl, squall.",Rhyme Over Reason : Phonological Motivation in English
wrele,To struggle or move about writhingly.,Rhyme Over Reason : Phonological Motivation in English
wrough,Used to represent the snort or grunt of a hog or pig.,Rhyme Over Reason : Phonological Motivation in English
wuff,"A low, suppressed bark of a dog.",Rhyme Over Reason : Phonological Motivation in English
wumph,"A sudden deep sound, as of the impact of a soft, heavy object.",Rhyme Over Reason : Phonological Motivation in English
yackety,Expressing the sound of incessant chatter.,Rhyme Over Reason : Phonological Motivation in English
yada-yada,Indicating (usually dismissively) that further details are predictable or evident from what has preceded.,Rhyme Over Reason : Phonological Motivation in English
yaff,"To bark, yelp; also, to prate, nag.",Rhyme Over Reason : Phonological Motivation in English
yaffingale,,
yaffle,,
yaffle,"To bark sharply, as a dog; to yelp.",Rhyme Over Reason : Phonological Motivation in English
yah,"An exclamation of disgust, aversion, or malicious defiance.",Rhyme Over Reason : Phonological Motivation in English
yahoo,"An exclamation of excitement, exultation, or delight.",Rhyme Over Reason : Phonological Motivation in English
yamph,"To bark, as a dog, esp. a small dog; to yelp.",Rhyme Over Reason : Phonological Motivation in English
yap,A dog that yaps; a yelping cur.,Rhyme Over Reason : Phonological Motivation in English
yap,"To bark sharply, as a small dog; to yelp.",Rhyme Over Reason : Phonological Motivation in English
yarr,"To snarl or growl, as or like a dog.",Rhyme Over Reason : Phonological Motivation in English
yarwhelp,,
yatter,"To talk idly and incessantly; to chatter, or gossip; to gabble; to complain peevishly.",Rhyme Over Reason : Phonological Motivation in English
yaw-haw,To laugh rudely or noisily.,Rhyme Over Reason : Phonological Motivation in English
yawp,"To shout or exclaim hoarsely; to yelp, as a dog; to cry harshly or querulously, as a bird.",Rhyme Over Reason : Phonological Motivation in English
yaup,"To shout or exclaim hoarsely; to yelp, as a dog; to cry harshly or querulously, as a bird.",Rhyme Over Reason : Phonological Motivation in English
yech,An expression of strong distaste or disgust.,Rhyme Over Reason : Phonological Motivation in English
yuck,An expression of strong distaste or disgust.,Rhyme Over Reason : Phonological Motivation in English
yeep,"Of a small animal, esp. a young bird or a mouse: to make a thin, high-pitched cry.",Rhyme Over Reason : Phonological Motivation in English
yeow,An imitation of the howl of a wolf or cat.,Rhyme Over Reason : Phonological Motivation in English
yeuch,Used as an emphatic expression of disgust or distaste.,Rhyme Over Reason : Phonological Motivation in English
yikker,"Of a bird or other animal: to make repeated short, sharp cries.",Rhyme Over Reason : Phonological Motivation in English
yip,"A short high-pitched cry, as from a dog; a shout, an exclamation; a complaint, an expostulation.",Rhyme Over Reason : Phonological Motivation in English
yip,"To cheep, as a young bird.",Rhyme Over Reason : Phonological Motivation in English
yo,"An exclamation used to attract attention, to express warning, surprise, etc., or to incite or encourage action.",Rhyme Over Reason : Phonological Motivation in English
yoax,A call or cry used to urge on hounds.,Rhyme Over Reason : Phonological Motivation in English
yock,"A laugh, esp. a loud or hearty one; a burst of laughter.",Rhyme Over Reason : Phonological Motivation in English
yock,"To laugh, esp. loudly or uproariously.",Rhyme Over Reason : Phonological Motivation in English
yoff,To make a sound resembling the grunt of a pig.,Rhyme Over Reason : Phonological Motivation in English
yoi,A cry used to urge on or encourage hounds.,Rhyme Over Reason : Phonological Motivation in English
yoick,A call or cry used to urge on hounds.,Rhyme Over Reason : Phonological Motivation in English
yoicks,A call or cry used to urge on hounds.,Rhyme Over Reason : Phonological Motivation in English
yolp,"To swallow greedily, hastily, or in large mouthfuls; to gulp.",Rhyme Over Reason : Phonological Motivation in English
yolp,"Representing a harsh, high-pitched bark or cry characteristic of dogs and some other animals.",Rhyme Over Reason : Phonological Motivation in English
youf,"To bark, esp. in a suppressed manner.",Rhyme Over Reason : Phonological Motivation in English
yow,An exclamation of vague meaning.,Rhyme Over Reason : Phonological Motivation in English
yowf,A smart swingeing blow.,Rhyme Over Reason : Phonological Motivation in English
yuck,To vomit.,Rhyme Over Reason : Phonological Motivation in English
yuck,An expression of strong distaste or disgust.,Rhyme Over Reason : Phonological Motivation in English
yum,"An exclamation of pleasurable anticipation, with implication of sensual or gustatory satisfaction.",Rhyme Over Reason : Phonological Motivation in English
zap,"To kill, esp. with a gun; to deal a sudden blow to.",Rhyme Over Reason : Phonological Motivation in English
zap,"Used to represent the sound of a ray gun, laser, bullet, etc.",Rhyme Over Reason : Phonological Motivation in English
zhoosh,"Originally among homosexual men: to make more stylish or smart; to enliven, make more exciting.",Rhyme Over Reason : Phonological Motivation in English
zing,"A sharp, high-pitched ringing sound; a twang.",Rhyme Over Reason : Phonological Motivation in English
zing ,Representing the sudden advent of a new situation or emotion.,Rhyme Over Reason : Phonological Motivation in English
zingo,Representing the sudden advent of a new situation or emotion.,Rhyme Over Reason : Phonological Motivation in English
zip,"A syllable expressing a light sharp sound such as that produced by a bullet or other small or slender object passing rapidly through the air or through some obstacle, or by the tearing of canvas or the like.",Rhyme Over Reason : Phonological Motivation in English
zizz,The noise made by the rapid motion of a wheel.,Rhyme Over Reason : Phonological Motivation in English
zonk,"Representing the sound of a blow or heavy impact, used to indicate finality.",Rhyme Over Reason : Phonological Motivation in English
zoom,"To move or travel very quickly, esp. making a continuous humming, buzzing, or droning sound.",Rhyme Over Reason : Phonological Motivation in English
zoom,"Representing a zooming sound, as made by something travelling at speed.",Rhyme Over Reason : Phonological Motivation in English
zoon,"To make a humming, buzzing, or droning sound.",Rhyme Over Reason : Phonological Motivation in English
zoon,"Representing a buzzing, humming, or droning sound.",Rhyme Over Reason : Phonological Motivation in English
